date,cumulative_excess_return
2022-09-21,0.29958406835123763
2022-09-22,0.2970992646230841
2022-09-23,0.30212099488754696
2022-09-26,0.29830948896399967
2022-09-27,0.2956672734470116
2022-09-28,0.3028924781456399
2022-09-29,0.29673701048907475
2022-09-30,0.3034340689805246
2022-10-10,0.30669360771053666
2022-10-11,0.3092743333582446
2022-10-12,0.31654112690102565
2022-10-13,0.3158865001539364
2022-10-14,0.3103518635794582
2022-10-17,0.31567634614713724
2022-10-18,0.3144892266397943
2022-10-19,0.3205169842800464
2022-10-20,0.3272769413434198
2022-10-21,0.32532265057344123
2022-10-24,0.3235161743222914
2022-10-25,0.3268224630854608
2022-10-26,0.3302808882588646
2022-10-27,0.3459371039715098
2022-10-28,0.34534916860069886
2022-10-31,0.3487047461476971
2022-11-01,0.34966648713616055
2022-11-02,0.34204490011656574
2022-11-03,0.3368035884247391
2022-11-04,0.32877429534347624
2022-11-07,0.33258580143137184
2022-11-08,0.3321788681216453
2022-11-09,0.3334830053896072
2022-11-10,0.34481559215010327
2022-11-11,0.34900593563588256
2022-11-14,0.3526576689743266
2022-11-15,0.3424968816036382
2022-11-16,0.3454436314031646
2022-11-17,0.34943973490422287
2022-11-18,0.34988763407388923
2022-11-21,0.34150472574332613
2022-11-22,0.366860657937226
2022-11-23,0.37485926114409573
2022-11-24,0.37018009957356024
2022-11-25,0.39278929192633116
2022-11-28,0.39330437387578776
2022-11-29,0.3942603636373685
2022-11-30,0.3911533719383018
2022-12-01,0.38515293702114195
2022-12-02,0.3898378357586487
2022-12-05,0.40977509751800456
2022-12-06,0.40325336687637825
2022-12-07,0.40181479842639667
2022-12-08,0.4015840629090568
2022-12-09,0.39345884929720887
2022-12-12,0.38838862821238385
2022-12-13,0.4022967136325075
2022-12-14,0.4023724664730264
2022-12-15,0.3932963979098134
2022-12-16,0.3989702050967563
2022-12-19,0.4003492528461352
2022-12-20,0.40678671363957486
2022-12-21,0.4095581994641193
2022-12-22,0.4140584834352794
2022-12-23,0.4203647889527433
2022-12-26,0.40495507829457256
2022-12-27,0.4059932594417226
2022-12-28,0.40528316482085125
2022-12-29,0.39834422180020845
2022-12-30,0.40729422912016844
2023-01-03,0.39996771596667435
2023-01-04,0.40094797593832765
2023-01-05,0.399897003774242
2023-01-06,0.3909161967650592
2023-01-09,0.3956551147306442
2023-01-10,0.39367271969165674
2023-01-11,0.3987239180406674
2023-01-12,0.40355300170076536
2023-01-13,0.40860931803883394
2023-01-16,0.41145478573276106
2023-01-17,0.4131843380980993
2023-01-18,0.4162146626232195
2023-01-19,0.4130958954026993
2023-01-20,0.4156272403338843
2023-01-30,0.4169840110101879
2023-01-31,0.4205745309021438
2023-02-01,0.4179081251063812
2023-02-02,0.4182264314637445
2023-02-03,0.4192440833792306
2023-02-06,0.4284101200521828
2023-02-07,0.4313607755411417
2023-02-08,0.43294113147185165
2023-02-09,0.42691091897822586
2023-02-10,0.43456972213399236
2023-02-13,0.4299339581424195
2023-02-14,0.4311653009110348
2023-02-15,0.42956758914072446
2023-02-16,0.4328303156332092
2023-02-17,0.445154391863142
2023-02-20,0.44177336529929323
2023-02-21,0.4428760764252426
2023-02-22,0.44298408772463294
2023-02-23,0.44441609068294197
2023-02-24,0.44389319419117923
2023-02-27,0.4460150487030934
2023-02-28,0.44586675827144573
2023-03-01,0.44453144191483496
2023-03-02,0.4596667210690162
2023-03-03,0.4691534873138641
2023-03-06,0.46907799330796296
2023-03-07,0.4819980427068191
2023-03-08,0.4806188085132286
2023-03-09,0.48286456613986095
2023-03-10,0.47962431824113483
2023-03-13,0.47928417852606264
2023-03-14,0.48155137210786503
2023-03-15,0.49532206086173924
2023-03-16,0.49521282092655183
2023-03-17,0.5029722166770809
2023-03-20,0.49998329347339765
2023-03-21,0.484545364248089
2023-03-22,0.4833933759011677
2023-03-23,0.4753333834749667
2023-03-24,0.47451339546891913
2023-03-27,0.46340482084396895
2023-03-28,0.46912182907620625
2023-03-29,0.46441535656888266
2023-03-30,0.4612445911786671
2023-03-31,0.45556355675626237
2023-04-03,0.4454166447263366
2023-04-04,0.44577716289874325
2023-04-06,0.4394708494666464
2023-04-07,0.43592737011229477
2023-04-10,0.44846847124131517
2023-04-11,0.44549999145878805
2023-04-12,0.44299669282896126
2023-04-13,0.45472788124318053
2023-04-14,0.44684674293380167
2023-04-17,0.4565080062360811
2023-04-18,0.45788377460250373
2023-04-19,0.46090011440494405
2023-04-20,0.4553142493195068
2023-04-21,0.4726306127685629
2023-04-24,0.483211346951095
2023-04-25,0.5054505259710496
2023-04-26,0.4967851481883767
2023-04-27,0.5012239332490791
2023-04-28,0.510364044619319
2023-05-04,0.5310284223686228
2023-05-05,0.5473152974719009
2023-05-08,0.560309868205199
2023-05-09,0.5795310837111283
2023-05-10,0.5777528284921507
2023-05-11,0.5815272866852303
2023-05-12,0.5872612996042532
2023-05-15,0.57894068426917
2023-05-16,0.5810408218166008
2023-05-17,0.5767649290680481
2023-05-18,0.5731561985308773
2023-05-19,0.5640913883938714
2023-05-22,0.5689218714623736
2023-05-23,0.5660264718267829
2023-05-24,0.5662098235380684
2023-05-25,0.567642859539492
2023-05-26,0.5694733956285225
2023-05-29,0.5815109842446797
2023-05-30,0.5824445050772531
2023-05-31,0.584701896563893
2023-06-01,0.5797349386666759
2023-06-02,0.5762463286902431
2023-06-05,0.5777321520790477
2023-06-06,0.5810617304533596
2023-06-07,0.5866431142439641
2023-06-08,0.6008312936345173
2023-06-09,0.5917532663901239
2023-06-12,0.586167031965803
2023-06-13,0.5852828731167368
2023-06-14,0.5817241317043709
2023-06-15,0.5800430423647092
2023-06-16,0.5706086759000868
2023-06-19,0.5665630353331939
2023-06-20,0.5611413236611011
2023-06-21,0.5818278250715365
2023-06-26,0.5920185732813965
2023-06-27,0.5962039515800819
2023-06-28,0.5996723786092182
2023-06-29,0.6000642693098353
2023-06-30,0.5999422632611318
2023-07-03,0.6022256802490631
2023-07-04,0.596193305741409
2023-07-05,0.6021205394127489
2023-07-06,0.6050525861587011
2023-07-07,0.6233787118118044
2023-07-10,0.6211741045412971
2023-07-11,0.6161042129904752
2023-07-12,0.6228347578795652
2023-07-13,0.6180357199147655
2023-07-14,0.6199688635178899
2023-07-17,0.6182117100229574
2023-07-18,0.6253766655835986
2023-07-19,0.6350415259857949
2023-07-20,0.64443857676698
2023-07-21,0.6494784032821714
2023-07-24,0.6525790666240836
2023-07-25,0.6593555423711603
2023-07-26,0.6720499837649891
2023-07-27,0.6866257926053456
2023-07-28,0.7045107241483666
2023-07-31,0.7087653748684586
2023-08-01,0.709163012158011
2023-08-02,0.7079564251080512
2023-08-03,0.7108649528760194
2023-08-04,0.7029699964470191
2023-08-07,0.7009932707094677
2023-08-08,0.7005485211043117
2023-08-09,0.7059030729392108
2023-08-10,0.7095249649883377
2023-08-11,0.7158055391725846
2023-08-14,0.7141706532808769
2023-08-15,0.7255930311643084
2023-08-16,0.7369807993515567
2023-08-17,0.7334753103164773
2023-08-18,0.7477979452176533
2023-08-21,0.7523687373620132
2023-08-22,0.7455208746581565
2023-08-23,0.7619975937770065
2023-08-24,0.7452686775381665
2023-08-25,0.7584738549835499
2023-08-28,0.7677727649266819
2023-08-29,0.7514126525362075
2023-08-30,0.7477811692139678
2023-08-31,0.7517454600650704
2023-09-01,0.7542656687768277
2023-09-04,0.7559638644926567
2023-09-05,0.7606265521859936
2023-09-06,0.7609851125115004
2023-09-07,0.7663176210415208
2023-09-08,0.7613425768345954
2023-09-11,0.7676265990310995
2023-09-12,0.7697008801979301
2023-09-13,0.7776426461311334
2023-09-14,0.7854200890436174
2023-09-15,0.7888688069294445
2023-09-18,0.7873066044307921
2023-09-19,0.7945908962177
2023-09-20,0.8018041063866135
2023-09-21,0.8012530424896935
2023-09-22,0.7892450535970723
2023-09-25,0.7913211694861051
2023-09-26,0.7855642976803492
2023-09-27,0.7775429225294488
2023-09-28,0.7755324960674217
2023-10-09,0.7820150189704675
2023-10-10,0.7749708903366317
2023-10-11,0.7710527189074936
2023-10-12,0.7801432292980393
2023-10-13,0.7843116072948673
2023-10-16,0.8026332045371201
2023-10-17,0.801382617979665
2023-10-18,0.8026187318578288
2023-10-19,0.7997543198724069
2023-10-20,0.8073386392925552
2023-10-23,0.8119654488114842
2023-10-24,0.8049303141251452
2023-10-25,0.8144523917574014
2023-10-26,0.8176754919170444
2023-10-27,0.8139025515097942
2023-10-30,0.795793400999911
2023-10-31,0.8002308996369301
2023-11-01,0.8101020993985857
2023-11-02,0.8162442231179579
2023-11-03,0.8004680113647638
2023-11-06,0.7855438580212268
2023-11-07,0.7815451625374183
2023-11-08,0.7735015127216096
2023-11-09,0.7737418270159535
2023-11-10,0.7745913319478102
2023-11-13,0.7740858930149972
2023-11-14,0.7773303304182904
2023-11-15,0.778597449644207
2023-11-16,0.7850062807449127
2023-11-17,0.7821169039148523
2023-11-20,0.7786820537331787
2023-11-21,0.7827516918017421
2023-11-22,0.7919920620963097
2023-11-23,0.7918743540116129
2023-11-24,0.7989384978336707
2023-11-27,0.7998566685662907
2023-11-28,0.7998166517215799
2023-11-29,0.8083991620483304
2023-11-30,0.8116860068412335
2023-12-01,0.8114310882906965
2023-12-04,0.8158227126678954
2023-12-05,0.8318267043740912
2023-12-06,0.8265260370650636
2023-12-07,0.8307980675392295
2023-12-08,0.825812434832083
2023-12-11,0.8224215497399154
2023-12-12,0.8261079701722733
2023-12-13,0.8360322938538363
2023-12-14,0.8403327427853773
2023-12-15,0.8389780632339838
2023-12-18,0.853896511955964
2023-12-19,0.8511982001236753
2023-12-20,0.8650651695379263
2023-12-21,0.8580340322794466
2023-12-22,0.8623945839570799
2023-12-25,0.863693104700535
2023-12-26,0.864394715309867
2023-12-27,0.8693170247100701
2023-12-28,0.8482820846323393
2023-12-29,0.8419750890857995
2024-01-02,0.853137032443559
2024-01-03,0.8651350254149377
2024-01-04,0.8738161679897305
2024-01-05,0.8908219431504134
2024-01-08,0.9002931612661405
2024-01-09,0.8998271440416137
2024-01-10,0.8994396071446789
2024-01-11,0.8768724542311419
2024-01-12,0.8907885707346366
2024-01-15,0.8966851200847874
2024-01-16,0.9023396864645965
2024-01-17,0.9192142645635477
