date,cumulative_excess_return,alpha158,alpha360
2022-05-11,0.2004282357217968,0.041572999687410794,0.06875570360365679
2022-05-12,0.2075275062910078,0.045281312642471594,0.07330122686531482
2022-05-13,0.2053646468902579,0.041370778416704335,0.07382889020803263
2022-05-16,0.2033839044111773,0.039706035163008746,0.07375482037738834
2022-05-17,0.1985974606656066,0.03565303179199186,0.07031766988309252
2022-05-18,0.2037093431139094,0.040243037277542415,0.07211579045001715
2022-05-19,0.2020645334351216,0.03638825221207287,0.06901223647424137
2022-05-20,0.202817241130166,0.03718852095202352,0.07125629108492704
2022-05-23,0.2081331389981688,0.0405688626422247,0.07011774533866255
2022-05-24,0.2151651396938287,0.04245139718806268,0.07486754534600659
2022-05-25,0.2236072503934127,0.0473739162885376,0.07905327218713354
2022-05-26,0.2291565965859543,0.05383273714303893,0.08286166410643969
