factor_name,annual_ic,annual_rank_ic,ic_ir,rank_ic_ir
VVE_Stochastic_Exhaustion_60D,-0.002046798677365114,-0.0055911047754867525,-0.015526763367780241,-0.0362938790965429
Exhaustion_Intensity_Ratio_10D,-0.015219411012271315,-0.0076416186173215075,-0.09155116929443963,-0.04113314855089835
Composite_Mean_Reversion_Score_60D,-0.005955396179216184,-0.008620076175703855,-0.04302319151040978,-0.05911326824402509
ASVC_Refined_Climax_20D,0.005927751372068941,-0.009956344004114649,0.04528741780256367,-0.07205301611704935
Ranked_Volatility_Expansion_Reversal,-0.012702419828341121,-0.010204409144135491,-0.08768308836257942,-0.0653620004023012
Divergent_Volume_Dryup_Rank,-0.01764244072959563,-0.011819279506143731,-0.11012362737797395,-0.0613289054479538
Climax_Exhaustion_Intensity_Index,-0.007753446259342276,-0.01231781752950362,-0.07383903174385031,-0.11372765961262092
Ranked_Accumulation_Signal_V1,-0.00867980607796431,-0.012803581027426196,-0.056008631340998115,-0.07733280290167087
LVR_Conditional_Reversal_V3,-0.01360377539402127,-0.013335896754372063,-0.12215267054271609,-0.12192881801613616
LVR_Bottom_Fishing_20D,-0.014353569498103801,-0.019006655737751375,-0.11106350261660031,-0.12447202521956388
Volume_Stability_Momentum_Divergence_40D,-0.015477365539354079,-0.02467429464534378,-0.07621549135566259,-0.11819172511250532
Relative_Volume_Calm_Reversal,-0.01882543249274836,-0.027949783831805162,-0.093870452987021,-0.13497654523150412
ASVC_Liquidity_Absorption_Index,,,,
CS_Volatility_Efficiency_Decay_10D,,,,
NonLinear_Exhaustion_Flow_Factor,,,,
Volume_Price_Convexity_Index_5D,,,,
Climax_Efficiency_Decay_Factor,,,,
Convexity_Exhaustion_Rank_Factor,,,,
Stable_Recovery_Momentum,,,,
Dynamic_Exhaustion_Intensity_Index,,,,
VVGF_Mean_Reversion_10D,,,,
VVGF_ZScore_Anchored_Divergence,,,,
Hollow_Extension_Reversal_Index,,,,
RAEI_Range_Efficiency_20D,,,,
Robust_Efficiency_Reversal_Index,,,,
SWCC_Shadow_Intensity_Sigmoid,,,,
Liquidity_Boundary_Reversal_5D,,,,
NLCC_Volume_Scaled_Rejection,,,,
