factor_name,annual_ic,annual_rank_ic,ic_ir,rank_ic_ir
Climax_Exhaustion_Intensity,0.01603691732113973,0.02418541531942848,0.07435973730212651,0.09756325698589718
Liquidity_Boundary_Reversal_5D,-0.001543769879137461,0.021662361988447714,-0.02917807816130839,0.16265924183509453
DirPressureCount_5_Squeeze20_MomSign120,0.011549243705968283,0.021589691089798142,0.08132863610015108,0.12681980044752772
RangeVolCompression_TrendAligned_Linear_10_60_50_120,9.510481248441458e-06,0.019940492309059796,5.4892419350430366e-05,0.11455017018987133
IntradayContinuation10_CLVxVol,0.015395716345466121,0.01922294772466981,0.09706202656044871,0.11361219088510024
Regime_TrendStrength_5D,0.018862902319084263,0.015782334050468465,0.12139235918065934,0.09338897053436024
LAS_Gated_Overnight_Continuation_10D_Top40_LowVol80,0.01085558777214661,0.015388177438962274,0.09215992322637222,0.11408667055409778
Sigmoid_BreakoutReadiness_RangeVol_10_60_120,0.000872005371636001,0.014977736248586436,0.006157077957568842,0.10082486390228775
GatedCleanTrend_OvernightReturn_10D_TQ30_Range70,0.0063415394676164935,0.014585437473374157,0.0723307299711873,0.1381698499195758
StableFlow_MomRev_Blend_60_5,0.0031093781806559835,0.013896098685515276,0.01705305174512604,0.07463101567047205
Gated_Continuation_Mom_5D_by_Absorption_20D_60D,0.016657934082156586,0.013887160942801962,0.10052856698040877,0.07729299110864143
Squeeze_to_Shock_Delta_LogRelVol_20_60_5_20,0.009837301125658874,0.013289239660017453,0.07478717178866641,0.10015148326762964
Relative_Climax_Reversal_Index,0.009124090500377827,0.012737523603864905,0.0413612257215613,0.05137860388714781
Extreme_Capitulation_CorrZ_Gated_60D_20D_60D,-0.00035294686463373557,0.012556905987090026,-0.0036946383754188645,0.12626175206675366
Directional_ClimaxReversal_CLVsign_DV_ILLIQ_3_20_40,0.0015856524687505326,0.012030507068470465,0.013655357281803822,0.10960928570211896
OvernightTrendQuality_Conviction_10D,0.007581611230100167,0.011760365194402742,0.06878033223351467,0.09958233802327583
Relative_Volatility_Force_Index,0.01707444537972886,0.011657947713086729,0.08877616148987026,0.05365794444717437
Ranked_Trend_Exhaustion_Factor,0.013697778150891581,0.01160065002936454,0.07026654261125645,0.05457497770740695
Gap_CLV_ReversionScore_20D,0.006739193959031558,0.011438756254757428,0.05592206124223756,0.08148404840892907
RangeExpansion_CloseNearLow_Intensity_252D,0.015244713070906586,0.0112506205301718,0.096912746753971,0.07019988405915913
Uptrend_Squeeze_Release_Composite_120_20_60_5_20,0.013323850533566871,0.011067156662035216,0.10813157217538509,0.08807637684060106
Asymmetric_Liquidity_Climax_V1,0.01608399377096434,0.010376652504875116,0.08022622052403622,0.04703553691961245
TrendFit_Quality_SlopeOverResidStd_10D,0.014079382355784138,0.010026454944424227,0.08748764096807841,0.055998121865203865
Momentum_StrongClose_StreakCount_20_5,0.011941069875417595,0.009702969482841758,0.07573643581063425,0.05528135414076892
Climax_Capitulation_Signal,0.01882049185616921,0.009374416870568877,0.14156752339029485,0.07668346756996033
Overnight_Trend_Quality_10D,0.0016290672507828083,0.009266845925149038,0.02171232953558297,0.06853277534987326
Volume_Weighted_Distance_Reversal,0.018532425017403827,0.009016914762664868,0.09145954138262474,0.041383347343538865
PV_Corr20_InvVolMAD5_CumRet5,0.00899295848639826,0.008863823241326455,0.10644024557268075,0.07289619001092514
NoisyDecline_MeanReversion_5D_in_ROC60Decline,-0.0038118329829300314,0.008333967678896007,-0.027524953369767853,0.06084681609635632
TrendFitSlopeOverNoise_10D_5D,0.010446993770341426,0.008249598742239888,0.0767126450576251,0.04699088270209222
OvernightDominanceShare_WeightedOvernight_10D,-0.0026443567706240585,0.008005221120234223,-0.02684150811994165,0.06756140324509968
Smoothed_Climax_Stability_Index,0.016436881940661018,0.007901722163646974,0.08143053686302974,0.03660575634420757
NegCorr_plus_Drawdown_60D_20D,-0.004383616993472545,0.007760625156121628,-0.029838190908313942,0.04885120804451131
Volatility_Climax_Exhaustion_V1,0.01802889355645462,0.007695696648339972,0.11689757762286064,0.04030719079215659
SweepRejection_Trigger_RangeVolShock20_CLVDir,0.0017106020024798383,0.006861820248264329,0.016589763687260253,0.06840917541740688
Exhaustion_Conditional_Reversal,0.003162552469165261,0.006843458866251783,0.02624979908208115,0.06246792432211186
SellPressure_ReversalScore_252D_TrendWeak_10D,0.011750527879126466,0.006742851900320791,0.08647403980076471,0.04587587042291077
Stability_Weighted_Climax_Reversal_V1,0.011279622312510167,0.0061920700283089455,0.056574840937929784,0.02876813037768961
Drawdown_Divergence_Product_60D_20D,0.00042267478446272465,0.005924246688873089,0.004276688109456186,0.05288174218470348
ShockyRegime_MeanReversion_Score_RS10_KLEN10_WVMA5,0.003716188751484936,0.005786363409982956,0.022246897637534263,0.031946760841473514
Breakout_Gated_VolAccel_55_20,0.0045892290943098804,0.005361251162387925,0.06269458198061573,0.0716228356952171
Quiet_HighVolDays_20of60_IlliqDown20_Pen20,0.006453593528737815,0.005163176287753841,0.045705146298760733,0.033243542793927404
Accelerated_Liquidity_Exhaustion_V1,0.00849826236854046,0.005051791389425064,0.045768210845478816,0.02434954748731387
Ranked_Stability_Climax_Factor,0.008353151279920507,0.005022132302612156,0.043879534570100166,0.024137754047943615
Directional_CS_Absorption_Amihud_20D_Drift3,0.010883790397386376,0.0033870701898136746,0.11639089003167236,0.034970277271320745
Momentum_Intraday_CLV_RangeExp_Dominance_20_5_5_5_20,0.009461230439803946,0.0031804401450503416,0.06788005610203081,0.03332493140198295
Shock_Fragility_Reversion_60_5_10_20,-0.004129933094819296,0.003157787231276729,-0.04975790971743603,0.030293947105855718
Absorption_Imbalance_RangeImpact_20D,0.008656539937014037,0.003077152829160296,0.07696181749662903,0.026770069945886887
Liquidity_Adjusted_ZScore_Reversal,0.010142513128430447,0.0030555364866938985,0.05376522607341394,0.014899326846992971
Relative_Liquidity_Deviation_Factor,0.009923960045048757,0.0028198558486518203,0.05373671477640841,0.013852410544987804
OvernightShare10_LogAbs,-0.006318168117792556,0.0028000758711290577,-0.03372129508019104,0.015009595120710945
AbsorptionScore_RangeImpact_20D,0.008217767378023233,0.002574170701651589,0.07114133943950651,0.021995660007860247
Absorption_DollarVolMinusImpact_Z20,0.007939449824267152,0.002536782618185637,0.06866788361719366,0.02164501124735018
Bounded_Climax_Exhaustion_Factor,0.010056214268130555,0.002531051692763576,0.057362633704418915,0.013779447350081965
Momentum_CLV_Persistence_Intraday_OvernightPenalty_20_10_5,0.0059075317042891285,0.002484636122701802,0.04768786114580997,0.0199584487463215
Dynamic_Range_Climax_Sigmoid_20D,0.009933120047814353,0.0023456466371954855,0.05538907106943519,0.012556122011575958
CS_Absorption_RangeImpact_20D,0.008178335538989006,0.0022231857992401714,0.06921951426503554,0.01839035648561086
Log_Climax_Reversal_Intensity,0.009810332602311348,0.001949074215415354,0.05464149221077019,0.010478241533613236
ATR_Volume_Exhaustion_Intensity_5D,0.003148902542728159,0.0018716321857612233,0.027065537489321088,0.01398742005954813
MAD_Compression_RangeZ_VolumeSpike_BodyDir_20_60,0.0033668713045335794,0.001286906038683751,0.047289977036768016,0.017863260516652945
LargeGap_Rejection_FadeScore_GapZ60_Thr2,-0.006164602467572644,0.00109780413725246,-0.08044667435163676,0.015260747665753884
SmoothReprice_DriftScore_40_5_60,-0.0020084560109824255,0.0010535539844675349,-0.024987892855469346,0.01270964504330675
Mean_Reversion_Distance_ZScore_20D,0.012041465496573102,0.0009379567494462173,0.07851294944695417,0.006663121207443189
Overnight_Dominance_Rank_10D,-0.007511526983494837,0.0007795822368982782,-0.04841251847642881,0.0047248323147870905
Signed_Timing_Imbalance_ZS_10D,-0.006904741133344094,0.0007750329915772008,-0.04117623820188964,0.0046971178963971195
Absorption_LowerWick_Body_VolZ_Gated_20D,0.0035670406791370604,0.0007205966281212388,0.05286091170830079,0.01054371965105989
VolumeTrend_10v20_Rank,0.010610698093978932,0.0007193506644032043,0.08204573045062691,0.005359858588803625
VWRR_ATR_Exhaustion_5D,-0.0039047953522635534,0.0006363123057458613,-0.026053319893167795,0.004156736029346418
Hybrid_Contrarian_DD60_Corr20_x_CLVDirection,0.005044740693489844,0.0005612337472908446,0.041891531785859276,0.00419545623497202
Relative_Liquidity_Decay_Reversal,0.000937889366384268,0.0005286809788379394,0.007718839547595423,0.0028234656588859647
Overnight_Dominance_Ratio_10D,-0.006050781359179111,0.000343559502575561,-0.036089712614489594,0.0020836152108069375
Quiet_Reversal_Exhaustion_V1,-0.003738029355496666,4.798285294622801e-05,-0.03250112601999572,0.0003685309106155199
Capitulation_Reversal_Rank_Product_60D_20D,-0.011474017242921781,-0.00028723424574759294,-0.06776645751524159,-0.0014659515887405074
LargeGap_CloseBackTowardPrevClose_GapZ60_Thr2,0.003040530854102136,-0.00030724586003956766,0.0364860890767255,-0.004126572472738078
Squeeze_Breakout_VolSurprise_20_55_20,0.012245663846924559,-0.0004260928621756361,0.10888772880412201,-0.003931147956563211
LargeGap_FollowThrough_Score_GapZ60_Thr2,0.0008423533599646128,-0.00046970939725861935,0.01042458697264757,-0.006253001828506905
