date,Quantalpha,alpha158,alpha360
2023-02-01,1.2119883681526487,0.36622409338916784,0.3282837210953815
2023-02-02,1.1730471965724338,0.3465588703303437,0.30603352416702423
2023-02-03,1.1951507344522585,0.35628691211386454,0.3155735836164213
2023-02-06,1.208889610713129,0.3586564660655651,0.3223549062274249
2023-02-07,1.1748664166980602,0.33578242819695614,0.3034148183847898
2023-02-08,1.2118913445233983,0.35303171545691403,0.31859806529456125
2023-02-09,1.2273043704760216,0.3631046364754622,0.3227960156688068
2023-02-10,1.236267482785812,0.3723057463040398,0.32507556392043524
2023-02-13,1.2128391469979944,0.3562928527931144,0.31273899208516354
2023-02-14,1.2128567371405485,0.35363481209786407,0.31559978008387723
2023-02-15,1.205330956021458,0.35219216578363377,0.33442951988458813
2023-02-16,1.2396932909813567,0.3749946091745766,0.3497131616723945
2023-02-17,1.2338842059598965,0.3750554992355355,0.34545566252059756
2023-02-21,1.2743188270096293,0.39366351084144124,0.3605894947149699
2023-02-22,1.2775618179678765,0.39978716018514526,0.3691475001288296
2023-02-23,1.2738971287511278,0.3963946882142977,0.3690102276335605
2023-02-24,1.3052458530025461,0.4109375250945788,0.3859761143665117
2023-02-27,1.3030530906587736,0.40036018212626145,0.3809450311165046
2023-02-28,1.3149518438367425,0.40182188817974485,0.3907164364588398
2023-03-01,1.3664517205785986,0.4085744485314329,0.41258284984347826
2023-03-02,1.3625806062286863,0.3985369154541427,0.41202508890650846
2023-03-03,1.321700829328699,0.372808786253513,0.3892508629412026
2023-03-06,1.2939404827019851,0.3609967940995342,0.3646939934117539
2023-03-07,1.3391333347481633,0.36750158504249697,0.3746562148514998
2023-03-08,1.3454571419057513,0.3722041483263454,0.37152784600120614
2023-03-09,1.3780779885636893,0.3791411182600257,0.37219697962793274
2023-03-10,1.3891416339685425,0.3717621131481792,0.3643962045579674
2023-03-13,1.3586349564745177,0.32914252557840795,0.33531658054026914
2023-03-14,1.3070625649520853,0.29916097374001827,0.31015060120668525
2023-03-15,1.265527529138502,0.29665824895006754,0.29937775659101584
2023-03-16,1.2314041777622005,0.26832487821823325,0.27184396153058965
2023-03-17,1.2303124929503944,0.25844617921723656,0.26182569296907054
2023-03-20,1.2225656518822565,0.26075470884200613,0.2577541172164839
2023-03-21,1.2195620003255514,0.2597076818438906,0.265980080493027
2023-03-22,1.2397617956690055,0.2556496860168367,0.27441027819736497
2023-03-23,1.2217498375873301,0.23045395388615786,0.2496490239996394
2023-03-24,1.1899396532454043,0.2256329940608468,0.24282575753094449
2023-03-27,1.2085132966290675,0.24354791169141654,0.25683011254278565
2023-03-28,1.2407187426553303,0.25311942867936255,0.2635171275248209
2023-03-29,1.2257335850256106,0.2429750033529694,0.2598889043903705
2023-03-30,1.2203125441815281,0.23587170105377586,0.24904669784908995
2023-03-31,1.2004367608973832,0.2291510259931362,0.24144725161151315
2023-04-03,1.1936874525957117,0.21620167354588515,0.2298539325948752
2023-04-04,1.1700464831723991,0.21227005974692625,0.22310096803786283
2023-04-05,1.1523500794484307,0.21098275700535152,0.20670048473624658
2023-04-06,1.1343359607080248,0.2056815201252653,0.2029799857915291
2023-04-10,1.1552175287179147,0.21538590334371843,0.21932037235042956
2023-04-11,1.1708680546292043,0.2259691152504013,0.2359025306684448
2023-04-12,1.1788057087471762,0.2249073525591503,0.22262095714039631
2023-04-13,1.1379504023570903,0.20243666715225306,0.2045642016471898
2023-04-14,1.1423176733199405,0.20551724390363146,0.20413720907487964
2023-04-17,1.1521661716395584,0.2162218988272897,0.21897464618659512
2023-04-18,1.1633271010291208,0.21109384221790406,0.21645776117923243
2023-04-19,1.1623082181124609,0.21233413778842247,0.22163555687649028
2023-04-20,1.1832744208629635,0.20632619487465953,0.20890030596923914
2023-04-21,1.1838398818745413,0.19483707014715845,0.20054810139750412
2023-04-24,1.1876573869539353,0.18841117349724112,0.19626375224074266
2023-04-25,1.217228213722311,0.19389441944982666,0.20091310372404925
2023-04-26,1.198727261220606,0.1929486566333407,0.2034413783095439
2023-04-27,1.1585450426921162,0.17609204775759912,0.18743289758810122
2023-04-28,1.1461753016172787,0.17789550402821086,0.18511778697893821
2023-05-01,1.1585732453949138,0.16873020586687182,0.17744810573231073
2023-05-02,1.1853346863189955,0.14890099827447312,0.16108594844316237
2023-05-03,1.2114631382093979,0.149610715129171,0.16764493319312113
2023-05-04,1.2250299758037113,0.1409029073729673,0.16130201646184927
2023-05-05,1.187345930444998,0.14689844758726922,0.17289549015367722
2023-05-08,1.2020486514295419,0.14177357793014012,0.16586012683000906
2023-05-09,1.2139235985589476,0.14824242146721578,0.17742551070816193
2023-05-10,1.1994242564210635,0.12572834942707,0.16256293261230392
2023-05-11,1.2097359116877948,0.11446903746769177,0.14996627167385168
2023-05-12,1.2156013691507122,0.11478409131105138,0.13967188914005613
2023-05-15,1.234308883345141,0.12132544051037408,0.156882554027302
2023-05-16,1.2192378527709336,0.10223828642355359,0.14472259255569941
2023-05-17,1.2244091244370732,0.11853624485559555,0.16046140577754042
2023-05-18,1.2158812797046576,0.10474300934788716,0.15823219475469896
2023-05-19,1.2071676589907807,0.10046039442053467,0.1487805666461841
2023-05-22,1.2129731568624735,0.11639342689114773,0.16589782790030183
2023-05-23,1.2493829766574254,0.1370095387146355,0.18680686619196463
2023-05-24,1.257916367666859,0.1343781600296734,0.19686017202929262
2023-05-25,1.2111981389152162,0.10322559006128884,0.1801955304274696
2023-05-26,1.1694077979422035,0.08643291259648067,0.16371951651805894
2023-05-30,1.160113042845064,0.09103735137008706,0.16382730883912444
2023-05-31,1.1527278904294547,0.09198357246026845,0.15624956432033166
2023-06-01,1.1171163923362255,0.07581614586283814,0.14822366520367414
2023-06-02,1.1324929191688407,0.0847452211130637,0.1567688945133816
2023-06-05,1.1329973403979574,0.0797071081063847,0.1509131446719847
2023-06-06,1.167999136238579,0.09858752426922801,0.17142544945968918
2023-06-07,1.2170754276630356,0.13493844176567182,0.19510659735381664
2023-06-08,1.184685709183297,0.11675282208715498,0.18090722750751542
2023-06-09,1.1709879364880718,0.10463393629060214,0.17020771653721356
2023-06-12,1.146465383457723,0.08813411083320966,0.1527206447471341
2023-06-13,1.145018540096531,0.08626451382801137,0.1530527975809579
2023-06-14,1.1386593059859913,0.07436003171502015,0.1534602306133177
2023-06-15,1.116046364359668,0.0638136112826122,0.13889880941497856
2023-06-16,1.1328569912943074,0.06699533176792238,0.14531196612326758
2023-06-20,1.1437374275967582,0.06227811612444545,0.14493047989140218
2023-06-21,1.173155424306072,0.06880269328146515,0.14949533164156215
2023-06-22,1.1538200727658103,0.04374445165609164,0.1319850030547538
2023-06-23,1.1748027144694428,0.044545442934639246,0.13644302473722458
2023-06-26,1.2066331388633782,0.08018582667775798,0.15689167653114233
2023-06-27,1.2029114047810547,0.07848466241519825,0.1648613551986895
2023-06-28,1.2071377449304719,0.07809528790811937,0.1659957469782023
2023-06-29,1.2056398427507111,0.08197282136588857,0.1626036365147805
2023-06-30,1.1794542826289072,0.06660225595654579,0.1517940010711738
2023-07-03,1.1838697755140544,0.07540907237429062,0.16542895342578712
2023-07-05,1.1807088130756895,0.07557603175633076,0.16466437707081627
2023-07-06,1.198435296029606,0.07779068151647106,0.16230186037927763
2023-07-07,1.2304564919266805,0.08941390238351232,0.19098414498816974
2023-07-10,1.2431961940503515,0.09395921986763134,0.21095858406516954
2023-07-11,1.2438894019760793,0.09436429573887084,0.21924304101492909
2023-07-12,1.2327979014952595,0.08491183470905472,0.20915152987989116
2023-07-13,1.2202331193041873,0.08155590502366161,0.21072653642735029
2023-07-14,1.2112563211261476,0.07268790189416952,0.2024251474736054
2023-07-17,1.2090619098978785,0.06658654931881225,0.20069622575585133
2023-07-18,1.2026978321277753,0.06740263141622482,0.20112736510127727
2023-07-19,1.186438815795802,0.07082218082121594,0.2203896624981463
2023-07-20,1.206330181319029,0.0813295626811179,0.20846777754298107
2023-07-21,1.2099528342558408,0.07997907781585933,0.20690046815303997
2023-07-24,1.1962928159154687,0.0795693842184082,0.19848749145667455
2023-07-25,1.1959235029442032,0.07150005083355349,0.18682533246653676
2023-07-26,1.1942029825939735,0.08280039421411822,0.1991737001848608
2023-07-27,1.2178401305197712,0.09186488265802129,0.19837007457732447
2023-07-28,1.2002562180508178,0.08427545507964451,0.19714801612239352
2023-07-31,1.2075561222686688,0.08779280662122546,0.20489574586632453
